1732389545.9359381, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 290
1732389545.936948, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 279
1732389546.03895, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 346
1732389546.03895, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 344
1732389546.1409392, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 356
1732389546.345941, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389546.44398, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389546.4469788, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389546.4479797, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 290
1732389546.4479797, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 279
1732389546.4919982, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389546.550069, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 346
1732389546.5510583, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 344
1732389546.652191, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 356
1732389546.6532054, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 60131, 1900, 354
1732389548.0862055, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389549.5195312, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39207, 1900, 290
1732389549.6228073, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39207, 1900, 279
1732389549.6228073, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39207, 1900, 346
1732389549.7244406, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39207, 1900, 344
1732389549.7254448, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 39207, 1900, 356
